,Unnamed: 0,account_key,subscription_start,total_study_hrs,lessons_completed,projects_completed,Intro to Data Science_hrs,Intro to HTML and CSS_hrs,Data Analyst Nanodegree_hrs,Data Visualization and D3.js_hrs,Data Analysis with R_hrs,JavaScript Basics_hrs,Intro to Machine Learning_hrs,A/B Testing_hrs,Data Wrangling with MongoDB_hrs,Intro to Data Science_lesson,Intro to HTML and CSS_lesson,Data Analyst Nanodegree_lesson,Data Visualization and D3.js_lesson,Data Analysis with R_lesson,JavaScript Basics_lesson,Intro to Machine Learning_lesson,A/B Testing_lesson,Data Wrangling with MongoDB_lesson,Intro to Data Science_proj,Intro to HTML and CSS_proj,Data Analyst Nanodegree_proj,Data Visualization and D3.js_proj,Data Analysis with R_proj,JavaScript Basics_proj,Intro to Machine Learning_proj,A/B Testing_proj,Data Wrangling with MongoDB_proj
0,0,448,2014,7.865357536110332,0.0,0.0,1.630967122222833,0.76440243055,3.406064944444332,0.1529222527776666,0.3580875638883333,0.972030158333333,0.580883063888833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,44,2014,46.394156652769325,12.0,0.0,22.17087966667,0.0,2.638166563883333,0.0,0.0,0.0,0.0,0.0,21.58511042221,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,258,2014,99.50050039167,11.0,1.0,22.683015541666663,0.0,5.058334588888333,9.44551641389,19.8368701444333,0.0,24.678967750016668,0.0,17.797795952776003,9.0,0.0,0.0,5.0,6.0,0.0,14.0,0.0,11.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
3,3,366,2014,102.5816878972188,11.0,0.0,33.8699802444555,0.0,2.968250669443833,3.994799516661166,9.556285272220002,0.0,24.7427082499883,0.0,27.44966394445,9.0,0.0,1.0,2.0,6.0,0.0,13.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,587,2014,17.879348477769334,0.0,0.0,16.004607786103833,0.0,1.6172240611105,0.0,0.0,0.0,0.25751663055,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,943,2014,0.2647090472216666,0.0,0.0,0.0,0.0,0.2647090472216666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,412,2014,111.9762681027961,9.0,0.0,54.78955910833,0.0,2.4915461749945,0.0,0.0,0.0,0.0,0.0,54.6951628194666,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,1288,2014,2.869097194443333,0.0,0.0,0.0587885333333333,0.0,0.969323388888333,0.1867833555549999,0.0,0.0,1.654201916666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,1006,2014,1.840385422223333,0.0,0.0,0.0,0.0,1.776294280556666,0.0,0.0,0.0,0.0,0.0,0.0640911416666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,429,2014,39.7687716888708,2.0,0.0,28.7079672861,0.0,1.499927927777666,1.9421657805555,0.0,0.0,0.046634225,0.0,7.572076469436667,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,130,2014,86.9687914083523,8.0,0.0,53.1709158055616,0.0,3.4385773888845,0.0,0.0,0.0,0.0,0.0,30.359298213906165,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,31,2014,31.953683958325,0.0,0.0,28.123644277773334,0.0,3.30279416944,0.0,0.0,0.0,0.0,0.0,0.527245511111666,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,919,2014,100.7069308666684,10.0,1.0,13.9849808222155,0.0,4.466136205556666,7.323793519437833,18.3948547722378,0.0,41.4728090055428,0.0,15.064356541677832,5.0,0.0,1.0,4.0,8.0,0.0,14.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
13,13,204,2014,181.7755980361738,11.0,1.0,35.8485885305728,0.0,3.4726734166665,24.089591861111668,33.3097333305661,0.0,41.4979965250155,0.0,43.5570143722411,8.0,0.0,2.0,8.0,9.0,0.0,14.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
14,14,439,2014,71.0892756361098,8.0,0.0,36.934657322214335,0.0,4.365029986111667,0.0,0.0,0.0,0.0,0.0,29.7895883277838,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,72,2014,65.0067382749768,9.0,1.0,6.787438741662167,0.0,2.081554313888,0.0,14.091874424995002,0.0,22.0622918555421,0.0,19.983578938889497,2.0,0.0,2.0,0.0,6.0,0.0,14.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
16,16,580,2014,110.5424978694776,8.0,1.0,48.54455848611117,0.0,4.579360058337666,0.0,0.3072710472216666,0.0,40.8835894861171,0.0,16.22771879169,10.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
17,17,225,2014,105.7167415333211,11.0,1.0,22.41805113889,0.0,1.244921372221667,0.0,27.564756030557337,0.0,36.8316004666489,0.0,17.6574125249981,7.0,0.0,0.0,0.0,8.0,0.0,14.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18,18,179,2014,90.1988527277836,10.0,1.0,22.563509755551006,1.708758605556666,1.8537098583325,11.435211538906833,6.84612114166,0.0,27.217900349988334,0.0,18.573641477783333,8.0,1.0,2.0,3.0,0.0,0.0,13.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
19,19,224,2014,118.0226798666655,11.0,1.0,31.585335302777164,0.0,2.188138347222166,0.0,18.192565530549498,0.0,35.4621183166683,0.0,30.59452236944833,9.0,0.0,0.0,0.0,9.0,0.0,14.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20,20,553,2014,159.76570674169,11.0,1.0,34.8829783944595,0.0,2.6941167305555,24.2269348666711,25.057377713887828,0.0,37.2784246444499,0.0391664305554999,35.5867079611155,9.0,0.0,0.0,8.0,9.0,0.0,14.0,0.0,11.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
21,21,1094,2014,10.678149669457332,0.0,0.0,8.401777161122832,0.0,2.276372508334499,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,649,2014,66.8089200499966,11.0,1.0,14.450051297211669,0.0,2.489620616666667,7.949075783328333,11.7947610444445,0.0,17.5351075027955,0.0,12.590303805550002,9.0,0.0,1.0,8.0,9.0,0.0,13.0,0.0,11.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
23,23,655,2014,21.9922198333433,0.0,0.0,20.1779801833433,0.0,1.81423965,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,336,2014,161.0232030277718,11.0,1.0,27.430437602778834,3.5617993694395,8.90623441945,25.428193519432668,21.9359828611105,7.707952344443834,27.627751844450504,8.757658713899998,29.667192352766,10.0,3.0,0.0,8.0,9.0,6.0,14.0,4.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
25,25,150,2014,135.1157324555518,11.0,1.0,37.1238151388995,0.0,3.292341619445666,14.39986238889,21.140694630550005,0.0,22.10842811666,0.0,37.0505905611016,5.0,0.0,0.0,7.0,9.0,0.0,14.0,0.0,11.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
26,26,408,2014,30.72739592222933,7.0,0.0,19.911902541671164,0.0,1.306751227778166,0.0,0.0,0.0,0.0,0.0,9.50874215278,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,458,2014,28.285892224975505,1.0,0.0,17.949567647209502,0.0,2.6717106416665,0.0,0.1577058805555,0.0,0.1092926694445,0.0,7.397615386099501,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,494,2014,2.539666652778333,0.0,0.0,0.0,0.0,2.539666652778333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
